7-14 21:53:15,166 : __main__ : ERROR : 127.0.0.1 : T0392511G - Patient T0392511G failed to log in: Incorrect password
2021-07-17 23:13:34,279 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B failed to log in: Incorrect password
2021-07-17 23:13:46,796 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B failed to log in: Incorrect password
2021-07-17 23:13:57,238 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B failed to log in: Incorrect password
2021-07-17 23:21:36,833 : __main__ : INFO     : 127.0.0.1       : T1234567B - Patient T1234567B changed their password
2021-07-18 00:04:52,600 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has updated information of account T1234567B
2021-07-18 00:08:14,378 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:09:12,013 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:09:41,297 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:11:35,041 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:16:54,589 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:19:53,873 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B attempted to access the -all users- update page
2021-07-18 00:20:35,189 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B attempted to access the -all users- admin functionality update page
2021-07-18 00:21:10,291 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to update the information of account T1234567B
2021-07-18 00:22:09,225 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use -admin update- admin functionality to update the information of account T1234567B
2021-07-18 00:31:57,992 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B attempted to access the -all users- admin functionality update page
2021-07-18 00:35:32,371 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use the -admin update- admin functionality to update the information of account T1234567C
2021-07-18 00:36:04,088 : __main__ : ERROR    : 127.0.0.1       : T1234567B - Patient T1234567B tried to use -admin delete- admin functionality to delete account T1234567C
2021-07-18 00:42:48,642 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:43:02,854 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567E
2021-07-18 00:44:09,236 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:44:14,963 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567E
2021-07-18 00:45:43,895 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567E
2021-07-18 00:45:52,082 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567E
2021-07-18 00:46:10,073 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567D
2021-07-18 00:46:18,035 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has used -admin update- admin functionality to update the information of account T1234567D
2021-07-18 00:48:27,860 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:48:32,002 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:50:18,939 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:52:31,000 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 00:53:05,995 : __main__ : INFO     : 127.0.0.1       : T5739128U - Admin T5739128U has accessed the -all users- admin functionality update page
2021-07-18 16:56:27,000 : __main__ : INFO     : 127.0.0.1       : T1234567B - New account (Username: T1234567B, Role: Patient) has been registered
2021-07-18 16:57:14,069 : __main__ : INFO     : 127.0.0.1       : T1234567C - New account (Username: T1234567C, Role: Patient) has been registered
2021-07-18 16:57:45,698 : __main__ : INFO     : 127.0.0.1       : T1234567D - New account (Username: T1234567D, Role: Patient) has been registered
